epoch,train_loss,train_acc,train_f1_macro,val_loss,val_acc,val_f1_macro
1,1.647021974836077,0.48104956268221577,0.41278658488380143,1.3293732750243035,0.7681159420289855,0.7272170048699265
2,1.0877898260733825,0.7463556851311953,0.6804929851546984,0.958501896996429,0.8405797101449275,0.7781809693574397
3,0.7024525277121074,0.8396501457725948,0.8224979873026045,0.7279326121012369,0.8260869565217391,0.7321892393320965
4,0.47414277776337227,0.8833819241982507,0.8661138103214133,0.5565888916236766,0.8840579710144928,0.8157988249555911
5,0.2969502500820438,0.9300291545189504,0.9139045519204523,0.5436175560605698,0.8840579710144928,0.7936390255944764
6,0.20495318454139086,0.9475218658892128,0.943876976881903,0.5051192183425461,0.8840579710144928,0.7970030117310082
7,0.1410567013671725,0.9591836734693877,0.9544251836684012,0.5021862206251725,0.8695652173913043,0.7793859649122806
8,0.1128921340010604,0.9620991253644315,0.9623811719903832,0.46529570437859796,0.855072463768116,0.7615288220551378
9,0.10512497101207169,0.9708454810495627,0.960277344037069,0.5980999487033789,0.855072463768116,0.7751116662881369
10,0.07451056642322082,0.9766763848396501,0.9756969667089782,0.574803486250449,0.8405797101449275,0.7563680019423888
11,0.07621599701246784,0.967930029154519,0.967649455892866,0.6218273000440736,0.8260869565217391,0.7578209061402338
12,0.05366173295342192,0.9854227405247813,0.9843589329161977,0.6822932803112528,0.8695652173913043,0.783937785640572
13,0.0486497360963168,0.9854227405247813,0.9844179903609135,0.6795532599739407,0.8695652173913043,0.783937785640572
14,0.05499867766921791,0.967930029154519,0.9677007191696657,0.6521158356597458,0.8695652173913043,0.783937785640572
15,0.047047397833176324,0.9825072886297376,0.9806010316214399,0.6899937754092009,0.8405797101449275,0.7664260576025281
16,0.03477728253355353,0.9883381924198251,0.9870673544142932,0.7590809403986171,0.855072463768116,0.7751116662881369
17,0.029561867019699196,0.9941690962099126,0.9933204633204633,0.8055614112080007,0.8260869565217391,0.7578209061402338
18,0.023025624388856025,0.9912536443148688,0.9901438541518303,0.8151389222214187,0.8405797101449275,0.7664260576025281
19,0.02146938884951196,0.9941690962099126,0.9933204633204633,0.8449491348819457,0.8405797101449275,0.7664260576025281
20,0.017317295460025008,0.9970845481049563,0.9966035476239558,0.845352784447048,0.8260869565217391,0.749572864712469
21,0.017225324314728424,0.9941690962099126,0.9933204633204633,0.8806728798410167,0.8260869565217391,0.749572864712469
22,0.017000660452307487,0.9941690962099126,0.9933204633204633,0.8965725104014078,0.8115942028985508,0.7409677132501746
23,0.01527798844979256,0.9970845481049563,0.9966035476239558,0.8866074551706729,0.8405797101449275,0.7582584733980777
24,0.022861644003876965,0.9912536443148688,0.991210895113002,0.8354869666306869,0.8405797101449275,0.7582584733980777
25,0.020636678936703907,0.9970845481049563,0.9972915785019044,0.8081139948057092,0.855072463768116,0.7670845927505129
26,0.014701694624808023,1.0,1.0,0.8044389918230582,0.8260869565217391,0.749572864712469
27,0.012742485079925193,0.9941690962099126,0.9933204633204633,0.8526526240334995,0.8405797101449275,0.7582584733980777
28,0.013855177138011588,0.9970845481049563,0.9966035476239558,0.8271673658619756,0.8260869565217391,0.749572864712469
29,0.013230605735158434,0.9970845481049563,0.9966035476239558,0.8515474779018457,0.8260869565217391,0.7578209061402338
30,0.009373281911319616,0.9970845481049563,0.9966035476239558,0.8979494450748831,0.8260869565217391,0.749572864712469
31,0.015949536801883327,0.9970845481049563,0.9964827032357098,0.8628725141718767,0.855072463768116,0.7751116662881369
32,0.05475178826057268,0.967930029154519,0.9678902565573563,0.7953904331594274,0.8405797101449275,0.7664260576025281
33,0.024303684624742836,0.9795918367346939,0.9783817557013433,0.7856666748074518,0.8260869565217391,0.7578209061402338
34,0.029640131472520335,0.9912536443148688,0.9898106428718673,0.9634728604468746,0.8405797101449275,0.7664260576025281
35,0.02238620267827987,0.9766763848396501,0.9756509500351864,0.9159715521162834,0.8405797101449275,0.7664260576025281
36,0.018231963597607335,0.9854227405247813,0.9840850758488726,0.9222079066262729,0.8405797101449275,0.7664260576025281
37,0.013260829292302923,0.9941690962099126,0.9933204633204633,0.9385744402374047,0.8405797101449275,0.7664260576025281
38,0.011832943093846212,0.9941690962099126,0.9933204633204633,0.9684617830359418,0.8405797101449275,0.7664260576025281
39,0.007970547048326136,0.9941690962099126,0.9933204633204633,0.9265850471413654,0.8405797101449275,0.7664260576025281
40,0.00800922161861494,0.9970845481049563,0.9966035476239558,0.9544728683388751,0.8260869565217391,0.749572864712469
